Company,N_Stacks,N_Followers,N_Votes,N_Companies,N_Developers,N_Integrations,Negative,Neutral,Positive,Compound,Z_N_Stacks,Z_N_Followers,Z_N_Votes,Z_N_Companies,Z_N_Developers,Z_N_Integrations,Z_Negative,Z_Neutral,Z_Positive,Z_Compound,SOCIAL_SCORE,BUSINESS_ADOPTION,SENTIMENT_SCORE,SCORE
Payment-Rails,4.0,6.0,0.0,,,12.0,,,,,-0.15147483919898871,-0.15947174532673353,-0.1481215054253941,0.0,0.0,-0.04932626468130677,0.0,0.0,0.0,0.0,-0.15400293489536773,-0.016442088227102258,0.0,-0.017565399681029742
MultiSafepay,0.0,6.0,0.0,,,11.0,,,,,-0.15373540715127681,-0.15947174532673353,-0.1481215054253941,0.0,0.0,-0.09530837582489785,0.0,0.0,0.0,0.0,-0.15490716207628297,-0.03176945860829928,0.0,-0.026807033268793717
ReCharge,6.0,15.0,0.0,,,10.0,,,,,-0.15034455522284465,-0.15151347925470493,-0.1481215054253941,0.0,0.0,-0.14129048696848892,0.0,0.0,0.0,0.0,-0.15036751487609867,-0.047096828989496305,0.0,-0.035776473137502714
Skrill,2.0,8.0,0.0,,,10.0,,,,,-0.15260512317513275,-0.1577032417551716,-0.1481215054253941,0.0,0.0,-0.14129048696848892,0.0,0.0,0.0,0.0,-0.15374764705720056,-0.047096828989496305,0.0,-0.03594547974655781
Payline,3.0,4.0,0.0,,,10.0,,,,,-0.15203998118706072,-0.16124024889829544,-0.1481215054253941,0.0,0.0,-0.14129048696848892,0.0,0.0,0.0,0.0,-0.15493639311922128,-0.047096828989496305,0.0,-0.036004917049658844
Hiveage,1.0,4.0,0.0,,,10.0,,,,,-0.15317026516320478,-0.16124024889829544,-0.1481215054253941,0.0,0.0,-0.14129048696848892,0.0,0.0,0.0,0.0,-0.1553885067096789,-0.047096828989496305,0.0,-0.03602752272918173
Bambora,3.0,7.0,0.0,,,9.0,,,,,-0.15203998118706072,-0.15858749354095256,-0.1481215054253941,0.0,0.0,-0.18727259811208,0.0,0.0,0.0,0.0,-0.15387529097628413,-0.06242419937069333,0.0,-0.04514828417123021
Amazon-FPS,20.0,21.0,8.0,,19.0,,,,,,-0.14243256738983626,-0.14620796854001922,-0.0988290110334178,0.0,-0.21164382344761173,0.0,0.0,0.0,0.0,0.0,-0.13522201657862576,-0.07054794114920392,0.0,-0.04908986551845364
Killbill,17.0,44.0,0.0,,15.0,,,,,,-0.14412799335405235,-0.12587017746705725,-0.1481215054253941,0.0,-0.21367449808312008,0.0,0.0,0.0,0.0,0.0,-0.13762356941352266,-0.07122483269437337,0.0,-0.04961607808730015
MercadoPago,14.0,13.0,0.0,,12.0,,,,,,-0.14582341931826842,-0.15328198282626684,-0.1481215054253941,0.0,-0.21519750405975138,0.0,0.0,0.0,0.0,0.0,-0.14926646194289295,-0.07173250135325046,0.0,-0.05050282390909492
Servicebot,5.0,17.0,0.0,,4.0,,,,,,-0.15090969721091668,-0.14974497568314302,-0.1481215054253941,0.0,-0.2192588533307681,0.0,0.0,0.0,0.0,0.0,-0.1498861702427027,-0.07308628444358937,0.0,-0.05134607917828876
Zoho-Subscriptions,6.0,10.0,0.0,,5.0,,,,,,-0.15034455522284465,-0.1559347381836097,-0.1481215054253941,0.0,-0.218751184671891,0.0,0.0,0.0,0.0,0.0,-0.15213601844766056,-0.072917061557297,0.0,-0.05135703785676123
